Review Text,Rating (Max 5),Review Date,Product Name,review_text_raw,review_text,review_text_lemma,brand,rating,review_date,absorbency,comfort,price,discretion,adhesive_fit,packaging,sustainability,absorbency_n_sents,comfort_n_sents,price_n_sents,discretion_n_sents,adhesive_fit_n_sents,packaging_n_sents,sustainability_n_sents
The length of the pad is what was necessary to prevent accidents. They are long enough to cover most of the underwear area. Absorbency is good,4.0 out of 5 stars,2024-06-27 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",The length of the pad is what was necessary to prevent accidents. They are long enough to cover most of the underwear area. Absorbency is good,The length of the pad is what was necessary to prevent accidents. They are long enough to cover most of the underwear area. Absorbency is good,the length of the pad be what be necessary to prevent accident they be long enough to cover most of the underwear area absorbency be good,,,2024-06-27,0.9998617172241211,,,,,,,1,0,0,0,0,0,0
"Works for absorption, but not very comfortable to wear. Thick so it doesn't compress to form to your shape. Feels like a large lump, which will absorb less due it being folded. There must be a better solution?",4.0 out of 5 stars,2024-06-14 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","Works for absorption, but not very comfortable to wear. Thick so it doesn't compress to form to your shape. Feels like a large lump, which will absorb less due it being folded. There must be a better solution?","Works for absorption, but not very comfortable to wear. Thick so it doesn't compress to form to your shape. Feels like a large lump, which will absorb less due it being folded. There must be a better solution?",work for absorption but not very comfortable to wear thick so it do not compress to form to your shape feel like a large lump which will absorb less due it be fold there must be a well solution,,,2024-06-14,-0.9991043210029602,-0.9929880499839783,,0.9299538731575012,,,,1,1,0,1,0,0,0
Seems lately they are skimping on the quality.,4.0 out of 5 stars,2024-06-12 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Seems lately they are skimping on the quality.,Seems lately they are skimping on the quality.,seem lately they be skimp on the quality,,,2024-06-12,,,,,,,,0,0,0,0,0,0,0
Exactly as described in description,4.0 out of 5 stars,2024-06-04 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Exactly as described in description,Exactly as described in description,exactly as describe in description,,,2024-06-04,,,,,,,,0,0,0,0,0,0,0
"The pads are very absorbent. But they are not breathable at all. I find it's causing ""crotch rot"". Do not use for postpartum, especially if you had stitches. They stick to the stitches!",4.0 out of 5 stars,2024-05-27 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","The pads are very absorbent. But they are not breathable at all. I find it's causing ""crotch rot"". Do not use for postpartum, especially if you had stitches. They stick to the stitches!","The pads are very absorbent. But they are not breathable at all. I find it's causing ""crotch rot"". Do not use for postpartum, especially if you had stitches. They stick to the stitches!",the pad be very absorbent but they be not breathable at all i find it be cause crotch rot do not use for postpartum especially if you have stitch they stick to the stitch,,,2024-05-27,0.9902446269989014,-0.9676399528980255,,,-0.9624947905540466,,,1,2,0,0,1,0,0
I personally love them!!! I bleed really heavy on Day1 and Day2 and I need something thick so I feel comfortable. Only thing is its a bit thick but that is what I need on Day1 and Day2.,4.0 out of 5 stars,2024-05-26 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",I personally love them!!! I bleed really heavy on Day1 and Day2 and I need something thick so I feel comfortable. Only thing is its a bit thick but that is what I need on Day1 and Day2.,I personally love them!!! I bleed really heavy on Day1 and Day2 and I need something thick so I feel comfortable. Only thing is its a bit thick but that is what I need on Day1 and Day2.,i personally love they i bleed really heavy on day1 and day2 and i need something thick so i feel comfortable only thing be its a bit thick but that be what i need on day1 and day2,,,2024-05-26,,-0.9828595519065857,,-0.018494725227355957,,,,0,1,0,2,0,0,0
It's too darn big and I don't urinate from my toosh. I have to cut the extra part of the pad otherwise I'm so uncomfortable!!,4.0 out of 5 stars,2024-05-23 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",It's too darn big and I don't urinate from my toosh. I have to cut the extra part of the pad otherwise I'm so uncomfortable!!,It's too darn big and I don't urinate from my toosh. I have to cut the extra part of the pad otherwise I'm so uncomfortable!!,it be too darn big and i do not urinate from my toosh i have to cut the extra part of the pad otherwise i be so uncomfortable,,,2024-05-23,,-0.9996241331100464,,,,,,0,1,0,0,0,0,0
I always this pads where i live this big pack is very expensive but on amazon its really Gud deals all time i order from amazon,4.0 out of 5 stars,2024-04-28 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",I always this pads where i live this big pack is very expensive but on amazon its really Gud deals all time i order from amazon,I always this pads where i live this big pack is very expensive but on amazon its really Gud deals all time i order from amazon,i always this pad where i live this big pack be very expensive but on amazon its really gud deal all time i order from amazon,,,2024-04-28,,,-0.98728346824646,,,-0.98728346824646,,0,0,1,0,0,1,0
Bought these to use postpartum. Great to use in the beginning or overnight but too long to wear during the day.,4.0 out of 5 stars,2024-04-24 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Bought these to use postpartum. Great to use in the beginning or overnight but too long to wear during the day.,Bought these to use postpartum. Great to use in the beginning or overnight but too long to wear during the day.,buy these to use postpartum great to use in the beginning or overnight but too long to wear during the day,,,2024-04-24,-0.9934206604957581,,,,,,,1,0,0,0,0,0,0
Really helped me a lot with my abnormal heavy bleeding until I got my hysteroscopy. They're comfy and helped me with my peace of mind.,4.0 out of 5 stars,2024-04-19 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Really helped me a lot with my abnormal heavy bleeding until I got my hysteroscopy. They're comfy and helped me with my peace of mind.,Really helped me a lot with my abnormal heavy bleeding until I got my hysteroscopy. They're comfy and helped me with my peace of mind.,really help i a lot with my abnormal heavy bleeding until i get my hysteroscopy they be comfy and help i with my peace of mind,,,2024-04-19,,,,,,,,0,0,0,0,0,0,0
"Perfect for heavy flow. Would be a good option for post partum as well. Only downside is that the tabs are placed weird. Would rather they had no tabs, because they aren't placed correctly. Still best over night option. I will order again",4.0 out of 5 stars,2024-04-12 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","Perfect for heavy flow. Would be a good option for post partum as well. Only downside is that the tabs are placed weird. Would rather they had no tabs, because they aren't placed correctly. Still best over night option. I will order again","Perfect for heavy flow. Would be a good option for post partum as well. Only downside is that the tabs are placed weird. Would rather they had no tabs, because they aren't placed correctly. Still best over night option. I will order again",perfect for heavy flow would be a good option for post partum as well only downside be that the tab be place weird would rather they have no tab because they be not place correctly still well over night option i will order again,,,2024-04-12,0.9997656941413879,,,,,,,1,0,0,0,0,0,0
"Better than most. I have an heavy flow thats really heavy in the morning, It gives that extra protection and lasts a little longer than most heavy flow brands. Would recommend to others",4.0 out of 5 stars,2024-03-14 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","Better than most. I have an heavy flow thats really heavy in the morning, It gives that extra protection and lasts a little longer than most heavy flow brands. Would recommend to others","Better than most. I have an heavy flow thats really heavy in the morning, It gives that extra protection and lasts a little longer than most heavy flow brands. Would recommend to others",well than most i have an heavy flow that s really heavy in the morning it give that extra protection and last a little long than most heavy flow brand would recommend to other,,,2024-03-14,-0.9691115021705627,,,,,,0.9987843632698059,1,0,0,0,0,0,1
My daughter is stuck on this size for ultimate heavy flow protection and absorbency.,4.0 out of 5 stars,2024-03-09 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",My daughter is stuck on this size for ultimate heavy flow protection and absorbency.,My daughter is stuck on this size for ultimate heavy flow protection and absorbency.,my daughter be stick on this size for ultimate heavy flow protection and absorbency,,,2024-03-09,-0.9948878884315491,,,,-0.9948878884315491,,,1,0,0,0,1,0,0
I didn't feel like going to the store and these showed up just in time!,4.0 out of 5 stars,2024-02-28 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",I didn't feel like going to the store and these showed up just in time!,I didn't feel like going to the store and these showed up just in time!,i do not feel like go to the store and these show up just in time,,,2024-02-28,,,,0.931942880153656,,,,0,0,0,1,0,0,0
Not good,4.0 out of 5 stars,2024-02-08 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Not good,Not good,not good,,,2024-02-08,,,,,,,,0,0,0,0,0,0,0
Article arrivée en bon Etat à l'interieur mais totalement mouiller a exterieur. L'article était dans le même carton que le liquide de lessive la raison de son Etat exterieur,4.0 out of 5 stars,2024-01-18 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",Article arrivée en bon Etat à l'interieur mais totalement mouiller a exterieur. L'article était dans le même carton que le liquide de lessive la raison de son Etat exterieur,Article arrivée en bon Etat à l'interieur mais totalement mouiller a exterieur. L'article était dans le même carton que le liquide de lessive la raison de son Etat exterieur,article arrivée en bon etat à l'interieur mais totalement mouiller a exterieur l'article était dans le même carton que le liquide de lessive la raison de son etat exterieur,,,2024-01-18,,,,,,,,0,0,0,0,0,0,0
"It is the best for extra heavy flow. When my period done, I have some itchy so I hope to make it from cotton and softer for sensitive skin",4.0 out of 5 stars,2023-11-16 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)","It is the best for extra heavy flow. When my period done, I have some itchy so I hope to make it from cotton and softer for sensitive skin","It is the best for extra heavy flow. When my period done, I have some itchy so I hope to make it from cotton and softer for sensitive skin",it be the good for extra heavy flow when my period do i have some itchy so i hope to make it from cotton and soft for sensitive skin,,,2023-11-16,0.9995891451835632,0.9706586599349976,,,,,0.9706586599349976,1,1,0,0,0,0,1
I used these right after I had baby #2 and the were great for nighttime since they had full coverage. I can't imagine wearing them under pants since they are so bulky but they worked with loose PJs.,4.0 out of 5 stars,2023-10-21 00:00:00,"Always Maxi Overnight Extra Heavy Flow with Wings, Unscented Pads 27 Count (Jumbo)",I used these right after I had baby #2 and the were great for nighttime since they had full coverage. I can't imagine wearing them under pants since they are so bulky but they worked with loose PJs.,I used these right after I had baby #2 and the were great for nighttime since they had full coverage. I can't imagine wearing them under pants since they are so bulky but they worked with loose PJs.,i use these right after i have baby 2 and the be great for nighttime since they have full coverage i can not imagine wear they under pant since they be so bulky but they work with loose pjs,,,2023-10-21,,,,-0.9836956262588501,,,,0,0,0,1,0,0,0
